"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","169776","176648","180067","185072","191771","198700","206634","209857","218173","226485","225275","222500","221802","224191","226115","232623","233046","231107","231204","230369","232659","230916","229950","230212","229514","229172","219713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","120","150","200","200","300","400","500","500","550","550","600","600","585","570","550","530","515","495","450","400","350","300","250","200","150","150","120","120","120","120","120","110","110","110","110","110","110","110","110","110","102","161","96","114","132","711","1011","171","223","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2733","3772","4577","5404","6364","7205","7960","8640","9733","10765","11735","12696","13808","14818","15172","16301","17690","18767","19847","21269","22299","23124","23736","24403","25100","25807","26797","27596","28498","29237","30035","30447","31305","32117","33228","32722","34376","35930","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","800","1645","2000","2817","3000","3729","4500","5300","6400","7113","8108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2900","3800","3800","4200","4331","4714","5321","5719","5884","6015","6700","7400","8184","8700","9620","9800","10000","10100","10100","10105","10200","10300","10420","10200","9950","10200","10630","11600","12100","12300","9469","9000","9049","9100","8938","8313","7910","8150","8200","8087","7647","7515","5917","7574","8122","7902","7317","7438","","","","","","","","","","","","","","",
"Andorra","AND","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354","353","358","357","355","353","","","","","","","","","","","","","",
"Arab World","ARB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","73480","76900","81263","86067","91117","97645","112317","117242","124571","130247","136421","147694","156011","165663","177135","186160","191633","207256","224684","236194","255349","271006","284477","300881","328165","344694","356674","364636","360566","383795","402168","404817","432671","437605","471322","471137","474365","481333","480922","431725","415084","347852","351046","358333","367073","376490","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","122","124","126","128","130","132","134","136","138","140","142","144","146","148","150","152","154","156","158","160","162","164","166","168","170","172","174","176","178","180","183","174","166","185","271","283","272","275","275","380","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","120000","130000","140000","150000","155000","160000","165000","170000","175000","168350","171000","174660","180000","180000","180000","180000","180000","173000","171400","166700","213000","203700","201800","203700","204000","225000","245000","267782","266100","264500","262850","261200","259500","257800","256100","254400","252700","251000","249300","247600","245900","244320","","","","","","","","","","","","","","","","","","","","",
