"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5506848841171","70.7154666725803","70.5361455288116","70.4259792117017","70.2277428300833","69.8395192056197","69.693494227428","69.5685529955082","69.3113068050107","69.1976222277258","69.1676345436625","68.9881314384908","68.8884540491531","68.7945083179931","68.7464108056333","67.8226375949176","66.9729294269925","66.3827071336403","65.7559017069214","65.1912973829447","64.1411838264927","63.2000789275526","62.9861995463159","62.2287322594578","61.557418618756","61.0931952798872","60.4573394346543","59.8716123003782","59.1277430794542","59.2951590590561","59.083023053004","",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.06442","84.15223","84.53278","84.64963","85.21585","85.5619","86.20139","86.82232","87.46256","88.07875","88.712","87.5259","86.72085","86.39676","85.17677","84.07625","82.39261","81.32214","78.33239","76.35602","73.42132","70.50992","67.85356","64.95338","65.68285","66.19894","66.61707","63.66947","59.36147","53.91368","","",
"Africa Western and Central","AFW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1617702610924","56.8872265764979","56.6544430380425","56.3467017476744","56.1399309125511","55.7752935182197","55.2916495299001","54.6727415021416","54.2078335769235","53.9204773453991","53.2225104582598","52.5258946100212","51.8977995282277","51.2873113480709","50.6800209465247","50.0752554639455","49.2337021761052","48.3174037325383","47.2630196501813","46.2872563789043","45.7044295707952","44.6925478581591","43.7106917290916","41.7956944629008","40.2171518614867","40.157415876023","39.9146425941289","39.4760051622576","39.3649602122192","38.704804358904","38.3342780924647","",
"Angola","AGO","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.72032","49.64133","49.76122","49.90961","49.32182","48.71997","48.08342","47.68281","47.584","47.06024","46.33578","44.78953","44.45175","44.19572","46.03129","47.75162","49.53643","51.19219","52.76061","55.55624","58.06271","60.76097","63.29886","65.67715","65.81801","66.18045","66.33111","66.59708","66.53769","66.18408","65.73271","",
"Albania","ALB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.97959","65.31416","65.08143","64.95008","64.88936","64.5622","63.89701","63.70776","63.40944","62.74326","62.16695","61.31321","61.04437","60.33836","59.5594","58.68848","57.60098","56.79253","57.14599","53.06408","54.20344","56.91126","53.13768","49.86293","47.66225","45.20496","42.41668","42.27174","41.60022","40.16925","39.18639","",
"Andorra","AND","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5490624860205","44.0847736823617","41.6973175365819","41.7831648552813","41.2608911274928","39.4797618139409","40.3425298318656","38.8071294717343","38.0588700739367","40.0753830208643","37.3044733203055","35.8107732513407","36.739067554602","37.8758556714516","37.0704032587716","35.4066214777323","35.5890697536007","34.145483469991","33.6155767168045","32.1552106305287","31.1520459138997","29.0068244113975","29.8609492234857","29.643307716578","27.9122329647919","27.0754110828308","26.7238108598187","23.8564121946396","23.1842789756652","22.3208922833495","22.328205778459","",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0691292","0.0695008","0.070007","0.0688952","0.0677539","0.0669307","0.0657556","0.0663123","0.0672046","0.0674989","0.0721296","0.0766304","0.0813461","0.0889508","0.0961518","0.1149641","0.137284","0.1618984","0.1461261","0.1324047","0.1198405","0.1053584","0.091154","0.0783827","0.0669274","0.0585943","0.0477833","0.0395512","0.0550652","0.0489603","0.0432008","",
"Argentina","ARG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.724107","6.702601","6.664099","6.601989","6.360411","6.318129","6.195136","6.117105","5.978527","5.857062","5.791825","5.737835","5.451769","5.256271","5.027263","4.791856","4.617678","4.446283","4.364522","4.186704","4.082316","3.972565","3.894209","3.84758","3.768246","3.699585","3.609233","3.544435","3.51873","3.685107","3.658348","",
"Armenia","ARM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.90012","46.10312","46.30611","46.42652","46.28241","45.99102","45.64052","45.40971","44.85633","44.32447","43.65321","42.79052","43.29369","43.74783","44.07862","44.37073","44.45932","44.87653","45.94915","47.17285","45.67503","43.90857","44.49667","40.5717","40.19437","37.15694","35.02524","34.17381","33.23834","33.93269","33.56205","",
"American Samoa","ASM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846524","3.610017","3.619778","3.518116","3.484776","3.394457","3.473836","3.456238","3.508318","3.439921","3.45308","3.039416","2.628235","2.686706","2.459515","2.360703","2.273491","2.184344","2.222357","2.287998","1.893891","1.920442","1.671289","1.830262","1.852797","1.752198","1.657224","1.681561","1.720951","1.909099","1.747069","",
"Austria","AUT","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.388185","7.909122","7.755786","7.993467","8.193695","8.584682","7.734937","7.236284","6.961636","6.385463","6.286312","6.086352","5.782916","4.866558","5.28762","5.287148","5.619109","5.235543","5.205155","4.997642","4.659704","4.245793","4.188086","4.570924","4.211493","3.929515","3.680956","3.284025","3.187657","3.42716","3.397694","",
"Azerbaijan","AZE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3083","53.63527","51.74866","51.16724","51.57608","51.55476","49.1214","47.58163","48.0145","46.48091","44.0178","41.8706","42.71645","41.26365","40.85891","44.20285","43.83479","43.16676","44.10107","44.38409","43.91142","43.88524","43.50152","42.63239","42.03612","42.08655","41.48027","40.8495","39.88724","40.03536","39.42711","",
