"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6023024713311","61.0678552683805","61.1520700669471","61.1869075812553","61.0705266992697","60.7118861227468","60.8864482673038","60.8679508555927","60.7821062915251","60.6750804560076","60.5806044029564","60.3079458587815","60.0990372626408","59.7428742183638","59.5794155577742","59.0137151688267","58.559178865248","58.3484439256205","58.3110173520795","57.7116795396158","56.831926958387","56.3415176677154","56.3019973098884","55.4056188080098","54.8190624356988","54.4116958140763","54.007839172579","53.5056911953741","53.1435786063766","54.079098140776","53.6605572320257","",
"Afghanistan","AFG","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.19457","58.50067","59.20797","59.4892","59.6187","59.56598","59.97739","60.30876","60.65682","61.13944","61.67863","59.51366","58.7257","58.39698","57.11562","56.44459","55.162","54.57139","52.03526","49.4536","48.60344","46.06805","43.27972","40.15715","39.49872","38.69062","37.71716","38.94931","40.23294","44.16464","","",
"Africa Western and Central","AFW","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5021595752685","63.3488115151548","63.3537753077791","63.2042918302366","63.0233397346749","62.7302919485009","62.3038390903931","61.9209931945894","61.4987995222437","60.5905372377555","60.2079995480396","59.8830646402415","59.1215337841883","58.144154023839","57.5822420216344","57.0617418745692","56.3199338791751","55.5916464609733","54.8594486583614","53.8508090800387","53.2634402262436","52.70114021947","52.3160366371729","50.9666196984197","50.0600634146707","50.0955048962221","49.4154069793161","48.5815215414024","48.2310030052752","48.8404198769528","48.2314472183307","",
"Angola","AGO","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.34838","30.56482","31.31966","31.49715","30.71872","29.96025","29.55516","29.33924","29.23513","29.08645","28.84935","28.02173","28.23474","27.80896","29.87746","32.35924","34.68579","37.34198","40.03394","41.31046","44.48059","45.96767","47.78604","49.53162","50.12099","50.87465","51.35388","52.02244","52.13287","52.20918","51.56815","",
"Albania","ALB","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.87763","45.29662","45.16711","44.92525","44.76398","44.41245","43.78719","43.45907","42.74948","41.90639","40.96086","39.95601","39.62516","39.1651","38.33614","37.51271","36.53465","35.56803","34.92225","34.20624","38.48298","37.41239","37.42744","36.63774","36.56073","35.97299","34.74831","33.4309","32.34185","31.90931","31.0054","",
"Andorra","AND","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0315917188676","29.9010393069937","29.4311015534305","29.0452794529865","28.7237945245383","28.0527549290898","27.7299874405648","27.3447692383378","26.7591151368093","26.352131649845","25.9336347421991","25.6748516746466","25.2759787471655","25.122835128822","24.1917277488973","23.6092653056548","22.701930555163","21.7981396141236","20.7975017560562","19.9970131480819","19.8005403118642","19.4204674430483","19.0370151592952","18.6021847421716","18.1425418422975","17.6923525062553","17.4437443475023","16.8371582705543","16.6558060741313","16.7752359563772","16.4985705707761","",
"United Arab Emirates","ARE","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.28444","10.16509","10.01263","9.85504","9.661634","9.65665","9.637197","9.57112","9.625356","9.673136","8.977899","8.355167","7.778709","7.303667","6.81435","6.087639","5.413653","4.836989","4.53888","4.306756","4.066945","3.777614","3.466606","3.163745","2.842218","2.599463","2.124277","1.744217","2.714314","2.21121","2.045399","",
"Argentina","ARG","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.49183","19.26386","18.82221","18.59194","18.35717","18.24404","17.8986","17.67259","17.39425","17.09929","16.92792","17.26746","16.72849","16.1215","15.40218","14.77004","14.27689","13.83881","13.50666","13.0787","12.5447","12.21827","11.94991","11.80203","11.43539","11.2429","10.93961","10.87713","10.7937","10.57785","10.54697","",
